temp[1],temp[2],tube_flowmeter[1],tube_flowmeter[2],tube_pressure[1],tube_pressure[2],tube_temp[1],tube_temp[2],anomaly
61.83,64.67,16.72,19.72,19.38,22.38,66.37,66.37,0
64.67,55.85,19.72,22.76,22.38,17.1,66.37,60.51,0
55.85,58.51,22.76,21.76,17.1,17.1,60.51,60.51,0
58.51,12.49,21.76,18.85,17.1,65.84,60.51,24.04,1
12.49,12.71,18.85,21.85,65.84,66.84,24.04,24.04,1
12.71,52.76,21.85,19.74,66.84,14.45,24.04,57.34,1
57.36,58.83,3.12,6.12,18.98,21.98,66.72,66.72,0
58.83,55.11,6.12,15.36,21.98,18.3,66.72,59.81,0
55.11,54.99,15.36,16.36,18.3,17.3,59.81,59.81,0
54.99,78.74,16.36,41.49,17.3,64.63,59.81,83.15,1
78.74,81.21,41.49,46.49,64.63,67.63,83.15,83.15,1
81.21,52.72,46.49,11.25,67.63,17.92,83.15,64.71,1
51.98,51.89,16.47,19.47,18.3,21.3,54.36,54.36,0
51.89,50.32,19.47,28.95,21.3,19.55,54.36,66.03,0
50.32,48.92,28.95,29.95,19.55,23.55,66.03,66.03,0
48.92,34.87,29.95,23.37,23.55,3.4,66.03,85.46,1
34.87,36.0,23.37,24.37,3.4,5.4,85.46,85.46,1
36.0,64.1,24.37,9.07,5.4,14.52,85.46,55.07,1
53.8,52.8,9.25,11.25,14.81,12.81,51.66,51.66,0
52.8,60.74,11.25,15.13,12.81,16.52,51.66,50.62,0
60.74,61.12,15.13,17.13,16.52,20.52,50.62,50.62,0
61.12,17.58,17.13,40.54,20.52,3.86,50.62,0.98,1
17.58,16.54,40.54,40.54,3.86,6.86,0.98,0.98,1
16.54,58.62,40.54,25.1,6.86,19.57,0.98,59.78,1
66.36,67.8,27.42,29.42,14.06,15.06,61.54,61.54,0
67.8,62.92,29.42,11.61,15.06,13.67,61.54,52.54,0
62.92,63.58,11.61,12.61,13.67,15.67,52.54,52.54,0
63.58,28.57,12.61,4.12,15.67,5.48,52.54,86.34,1
28.57,28.47,4.12,2.12,5.48,5.48,86.34,86.34,1
28.47,63.17,2.12,17.58,5.48,13.83,86.34,54.96,1
50.91,52.12,11.1,11.1,16.35,21.35,56.56,56.56,0
52.12,63.98,11.1,9.46,21.35,13.79,56.56,65.54,0
63.98,65.61,9.46,9.46,13.79,17.79,65.54,65.54,0
65.61,87.66,9.46,31.69,17.79,7.06,65.54,46.46,1
87.66,87.05,31.69,34.69,7.06,8.06,46.46,46.46,1
87.05,57.17,34.69,17.97,8.06,15.82,46.46,59.49,1
66.94,70.47,28.88,28.88,12.74,14.74,50.31,50.31,0
70.47,58.93,28.88,24.07,14.74,12.69,50.31,53.99,0
58.93,61.71,24.07,24.07,12.69,11.69,53.99,53.99,0
61.71,99.78,24.07,22.92,11.69,69.44,53.99,45.15,1
99.78,99.42,22.92,23.92,69.44,70.44,45.15,45.15,1
99.42,63.53,23.92,28.09,70.44,13.8,45.15,54.56,1
52.48,52.23,22.88,25.88,18.2,22.2,64.63,64.63,0
52.23,67.53,25.88,24.3,22.2,11.06,64.63,57.47,0
67.53,66.24,24.3,29.3,11.06,10.06,57.47,57.47,0
66.24,12.93,29.3,37.51,10.06,98.94,57.47,86.91,1
12.93,13.42,37.51,40.51,98.94,100.94,86.91,86.91,1
13.42,69.67,40.51,24.65,100.94,17.49,86.91,52.44,1
60.25,60.58,6.11,9.11,13.19,16.19,50.15,50.15,0
60.58,52.87,9.11,17.95,16.19,18.84,50.15,53.85,0
52.87,54.29,17.95,20.95,18.84,19.84,53.85,53.85,0
54.29,84.89,20.95,10.96,19.84,72.21,53.85,80.46,1
